<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MDMG;60;06/09/24;170000;831.9;833;830;830.8;18396
MDMG;60;06/09/24;180000;830.5;832.5;829.5;831.7;9106
MDMG;60;06/09/24;190000;831.5;832.6;830.3;832.5;7265
MDMG;60;09/09/24;110000;823;830;810;828.7;42060
MDMG;60;09/09/24;120000;829.3;830;827.1;829.3;14147
MDMG;60;09/09/24;130000;829.3;838;828.6;837.5;32137
MDMG;60;09/09/24;140000;837.8;837.9;835;837.3;11881
MDMG;60;09/09/24;150000;837.4;837.7;835;837.6;13650
MDMG;60;09/09/24;160000;837.6;837.7;836.7;837.3;7336
MDMG;60;09/09/24;170000;837.3;841.5;837;840.7;27664
MDMG;60;09/09/24;180000;840.6;841.6;837.2;840.7;14276
MDMG;60;09/09/24;190000;840.7;841.3;839.3;840.2;6208
MDMG;60;10/09/24;110000;840.2;844.4;830.3;833.4;19695
MDMG;60;10/09/24;120000;833.4;835;833;834;9019
MDMG;60;10/09/24;130000;833.9;835.2;833.6;834.3;6162
MDMG;60;10/09/24;140000;834.2;835.9;833.6;835.1;10447
MDMG;60;10/09/24;150000;835.1;837.9;834.1;837.5;3054
MDMG;60;10/09/24;160000;837.3;837.8;832;833.1;14785
MDMG;60;10/09/24;170000;833.1;835.6;832.4;834.8;22112
MDMG;60;10/09/24;180000;835;835;834.1;834.8;6567
MDMG;60;10/09/24;190000;834.8;835;834;834.9;4421
MDMG;60;11/09/24;110000;834.9;839.3;827;827;7480
MDMG;60;11/09/24;120000;826.7;838;819;824.2;20639
MDMG;60;11/09/24;130000;824.3;827.2;823.9;825.8;2913
MDMG;60;11/09/24;140000;825.8;828.4;825.8;826.2;2082
MDMG;60;11/09/24;150000;826.2;828.6;824;828;2260
MDMG;60;11/09/24;160000;828.3;829.7;825.6;828.4;32115
MDMG;60;11/09/24;170000;827.4;833.7;827.1;830.3;4300
MDMG;60;11/09/24;180000;831.6;831.6;828.1;829.1;2413
MDMG;60;11/09/24;190000;828.7;829.8;828.1;828.5;4008
MDMG;60;12/09/24;110000;820;827.4;815.4;820.1;7689
MDMG;60;12/09/24;120000;820;823.4;817.4;819.5;5062
MDMG;60;12/09/24;130000;819.5;824;818.9;822.4;6738
MDMG;60;12/09/24;140000;822.4;822.5;819;821.9;5956
MDMG;60;12/09/24;150000;821.4;822.5;820.2;821.9;2279
MDMG;60;12/09/24;160000;821.1;823;820.2;820.8;2947
MDMG;60;12/09/24;170000;821.9;822.9;820.9;821.8;3539
MDMG;60;12/09/24;180000;821.8;822.6;821;822.2;2319
MDMG;60;12/09/24;190000;821.8;823.1;821.6;823.1;1959
MDMG;60;13/09/24;110000;823.1;829.9;823;829.4;3198
MDMG;60;13/09/24;120000;829.4;829.8;828.1;828.2;3986
MDMG;60;13/09/24;130000;828.7;829.5;828;828;8654
MDMG;60;13/09/24;140000;828;829.9;820.6;824.8;28070
MDMG;60;13/09/24;150000;824.4;824.8;813.1;814;19968
MDMG;60;13/09/24;160000;814;819.1;813.2;817;17916
MDMG;60;13/09/24;170000;816.6;822;816.1;820.4;16602
MDMG;60;13/09/24;180000;820.3;821.2;816.6;819.5;13805
MDMG;60;13/09/24;190000;819.5;820;818.5;819;12267
MDMG;60;16/09/24;110000;827.6;828.6;823.1;824.7;9663
MDMG;60;16/09/24;120000;825.4;826.3;824.3;825.2;4783
MDMG;60;16/09/24;130000;825.2;829.5;825.2;829.3;10122
MDMG;60;16/09/24;140000;829.3;832;829;831.9;10812
MDMG;60;16/09/24;150000;831.9;838.9;831.6;837.3;9783
MDMG;60;16/09/24;160000;836.6;839;836.5;838.1;10730
MDMG;60;16/09/24;170000;838;838.9;834.7;835.7;5806
MDMG;60;16/09/24;180000;835.7;836.7;834.2;834.3;5344
MDMG;60;16/09/24;190000;834.2;835.4;828.5;831.7;4304
MDMG;60;17/09/24;110000;837;845;835.2;836.1;21789
MDMG;60;17/09/24;120000;836.5;841.5;836;838.7;5235
MDMG;60;17/09/24;130000;838.6;841.3;837.8;840.8;2307
MDMG;60;17/09/24;140000;840.8;842.7;838.1;841.5;4833
MDMG;60;17/09/24;150000;841.4;841.8;833.7;836.5;9409
MDMG;60;17/09/24;160000;836.4;845;836.4;843.5;18214
MDMG;60;17/09/24;170000;843.5;846.4;841.1;844.2;10617
MDMG;60;17/09/24;180000;844.3;847;843;847;3619
MDMG;60;17/09/24;190000;845.5;850;843;848.7;7376
MDMG;60;18/09/24;110000;849;852.7;825.1;844.2;27018
MDMG;60;18/09/24;120000;844.6;845.5;839.3;843.2;9712
MDMG;60;18/09/24;130000;843.2;845.4;836;836.1;8832
MDMG;60;18/09/24;140000;836;839.8;835.2;835.9;4318
MDMG;60;18/09/24;150000;835.6;837.2;835.5;836.5;3038
MDMG;60;18/09/24;160000;836.6;837.2;836.1;837;1662
MDMG;60;18/09/24;170000;836.8;837.2;836.1;837.2;3264
MDMG;60;18/09/24;180000;837;841.8;836.8;840.7;6181
MDMG;60;18/09/24;190000;840.2;842;839.7;841.4;6501
MDMG;60;19/09/24;110000;841;842;835.2;837.6;4699
MDMG;60;19/09/24;120000;837.3;838.9;836.3;837.4;6130
MDMG;60;19/09/24;130000;837.4;837.9;836.1;837.8;11652
MDMG;60;19/09/24;140000;837.8;841;837.3;840.3;8948
MDMG;60;19/09/24;150000;840.3;840.7;835;837.7;21277
MDMG;60;19/09/24;160000;837.8;839.6;837.6;838.8;3422
MDMG;60;19/09/24;170000;838.8;839.8;837.5;838.9;2964
MDMG;60;19/09/24;180000;838.4;839.5;837.5;837.8;3188
MDMG;60;19/09/24;190000;837.8;838;837.5;838;4686
MDMG;60;20/09/24;110000;839.1;844;837.6;842.8;16175
MDMG;60;20/09/24;120000;842.7;845.1;836.4;843.4;13390
MDMG;60;20/09/24;130000;843.4;845;836.5;845;12117
MDMG;60;20/09/24;140000;844.8;861;844.5;861;32436
MDMG;60;20/09/24;150000;860.4;865;858.7;863.5;47036
MDMG;60;20/09/24;160000;863.5;864;858.6;863;16427
MDMG;60;20/09/24;170000;863;865;860.9;864.8;15682
MDMG;60;20/09/24;180000;864.8;864.8;861;861.4;5848
MDMG;60;20/09/24;190000;861.4;864.8;861.4;864.8;9143
MDMG;60;23/09/24;110000;873;888;872.3;877.6;37621
MDMG;60;23/09/24;120000;877.9;883;876.6;881.6;20403
MDMG;60;23/09/24;130000;881.5;886.5;881.3;884.5;14156
MDMG;60;23/09/24;140000;884.5;885.6;880;882;22460
MDMG;60;23/09/24;150000;882;883;880;882.3;9053
MDMG;60;23/09/24;160000;882.4;884.4;880;883.2;9885
MDMG;60;23/09/24;170000;882.5;883.2;880.2;882;5397
MDMG;60;23/09/24;180000;882;888.8;881.3;887.5;22178
MDMG;60;23/09/24;190000;887.1;892;876.5;878.5;19039
MDMG;60;24/09/24;110000;890.3;895;860.4;867.1;54588
MDMG;60;24/09/24;120000;867;870;860.6;868.3;14974
MDMG;60;24/09/24;130000;868.3;875;867.4;872.1;13482
MDMG;60;24/09/24;140000;872.1;874.3;870;873.3;6817
MDMG;60;24/09/24;150000;873.3;873.5;867.2;869.3;7610
MDMG;60;24/09/24;160000;868.7;868.7;864.9;865.1;9758
MDMG;60;24/09/24;170000;866;866.6;862.8;865.3;14164
MDMG;60;24/09/24;180000;865.3;866.9;861.2;866.4;8010
MDMG;60;24/09/24;190000;866.5;871.3;865.1;870;10809
MDMG;60;25/09/24;110000;873.7;874.8;856;869.6;19232
MDMG;60;25/09/24;120000;869.7;878.5;868;870.3;14470
MDMG;60;25/09/24;130000;869.4;872.5;861;866.3;18452
MDMG;60;25/09/24;140000;866.2;869.5;861;868.6;6959
MDMG;60;25/09/24;150000;868.6;868.7;863.8;866.8;3856
MDMG;60;25/09/24;160000;866.8;867.3;863.3;867.2;4889
MDMG;60;25/09/24;170000;867.4;870.5;866.5;867.7;17317
MDMG;60;25/09/24;180000;867.7;869;866.5;867.6;12436
MDMG;60;25/09/24;190000;867.6;869.7;865.1;869.7;4785
MDMG;60;26/09/24;110000;870.2;873.5;869;873.5;17124
MDMG;60;26/09/24;120000;873.5;886.4;873;882.2;71166
MDMG;60;26/09/24;130000;881.8;886.7;881;885;10944
MDMG;60;26/09/24;140000;885;885.8;883.6;884.7;4760
MDMG;60;26/09/24;150000;884.7;884.9;880.3;881.9;17772
MDMG;60;26/09/24;160000;881.9;882;880;880;13151
MDMG;60;26/09/24;170000;880;880.1;880;880;32324
MDMG;60;26/09/24;180000;880;883.5;880;880.9;12944
MDMG;60;26/09/24;190000;880.9;881;880;880;8554
MDMG;60;27/09/24;110000;879.9;888.7;875.3;884.8;15652
MDMG;60;27/09/24;120000;884.8;890;884.7;885.6;18952
MDMG;60;27/09/24;130000;885.9;887;885.5;886.8;3371
MDMG;60;27/09/24;140000;886.5;887;885;885.9;5363
MDMG;60;27/09/24;150000;886;886.4;885.9;886.3;2725
MDMG;60;27/09/24;160000;886;888.9;884.7;887.7;13802
MDMG;60;27/09/24;170000;888.3;895;886.3;890.5;37711
MDMG;60;27/09/24;180000;890.7;892.5;888;888;7696
MDMG;60;27/09/24;190000;887.8;888;885.9;885.9;11992
MDMG;60;30/09/24;110000;894.9;897.9;890.9;895.9;23019
MDMG;60;30/09/24;120000;895.9;922;894;913.1;103114
MDMG;60;30/09/24;130000;912.2;913.1;902.1;906.1;25541
MDMG;60;30/09/24;140000;905.6;911.3;902.4;911.3;11850
MDMG;60;30/09/24;150000;911.3;912;900.2;901.3;16465
MDMG;60;30/09/24;160000;901.3;905.3;900.3;901.5;9452
MDMG;60;30/09/24;170000;902.3;907.2;900.9;903.7;9645
MDMG;60;30/09/24;180000;903.5;905;901.3;901.8;5529
MDMG;60;30/09/24;190000;901.3;903;901.3;901.3;5693
MDMG;60;01/10/24;110000;901.5;907.9;888;902.1;36389
MDMG;60;01/10/24;120000;902.4;902.9;900;901.7;25164
MDMG;60;01/10/24;130000;901.6;914.1;896.2;903.8;57062
MDMG;60;01/10/24;140000;903.6;905.6;896;901.2;9009
